Time,Latency_Delta_ms,Direction,Src_IP,Dest_IP,Payload_MB
16:02:08,1.66,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,15.36,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.16,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.59,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.89,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,11.12,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.04,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.95,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.55,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,38.99,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.48,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.48,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,12.48,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.65,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.68,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.33,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.57,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.95,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,28.16,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.39,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.4,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.35,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,14.83,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.09,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.94,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.74,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.34,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,12.51,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,20.31,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.93,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.08,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.58,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,23.53,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.1,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.76,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.76,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,5.05,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.19,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.72,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,46.66,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.46,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.9,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.33,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.86,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,5.17,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.18,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,6.41,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.27,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.88,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,16.0,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.13,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.19,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.74,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,38.72,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.37,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.81,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.62,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.66,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,18.84,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.35,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,4.03,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,4.77,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,10.93,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.25,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.93,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.77,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,6.92,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,48.31,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.77,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,5.07,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.07,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.15,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,6.84,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,15.85,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.15,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.9,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.62,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,9.29,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.91,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.73,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.63,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,53.1,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.26,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.96,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.2,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,10.06,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.96,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.75,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.8,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,32.19,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,11.35,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,3.81,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,26.91,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,3.58,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,3.34,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,25.27,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,5.01,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,11.13,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,1.33,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,5.38,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,7.77,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,35.88,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,1.31,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,1.0,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,0.68,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,1.89,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,1.68,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,11.55,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,0.99,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,0.99,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,86.84,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,1.14,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,0.91,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,2.82,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,2.78,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,3.45,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,22.98,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,1.1,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,0.99,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,2.94,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,3.11,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,10.05,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,9.37,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,0.96,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,0.69,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,2.74,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,0.63,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:09,0.96,IN_RECV,192.168.52.99,192.168.52.110,0.25
