Timestamp(us),Time,Direction,PID,TID,Command,Src_IP,Dest_IP,Port,Payload_Size_Bytes
7889457250,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889457286,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889457370,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889457529,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889457717,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889458152,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889458288,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889458604,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889458723,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889458888,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889459701,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889459954,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889460157,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889460217,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889460366,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889460511,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889461000,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889462189,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889462423,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889462619,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889462766,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889462907,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889463083,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889463139,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889463281,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889463492,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889463633,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889463768,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889463820,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889463955,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889464146,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889464286,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
7889464418,16:01:22,IN_RECV,18853,18853,python,127.0.0.1,127.0.0.1,8000,8192
